===== Clique Size Distribution =====
+------------+-----------------+
| Clique Size | Number of Cliques |
+------------+-----------------+
|         59 |             447 |
|         60 |             405 |
|         61 |             283 |
|         64 |              84 |
|         62 |             242 |
|         66 |              22 |
|         67 |               4 |
|         65 |              49 |
|         63 |             146 |
|         58 |             449 |
|         57 |             546 |
|         55 |            2042 |
|         56 |            1080 |
|         54 |            3737 |
|         50 |           30011 |
|         51 |           25637 |
|         52 |           17707 |
|         53 |            9514 |
|         49 |           39822 |
|         48 |           62437 |
|         21 |          611976 |
|         22 |          640890 |
|         20 |          600192 |
|         19 |          639413 |
|         18 |          729601 |
|         17 |          839330 |
|         16 |          939987 |
|         15 |          980831 |
|         14 |          945194 |
|         13 |          877282 |
|         11 |          728098 |
|         28 |          955212 |
|          5 |          939336 |
|          4 |         1823321 |
|          3 |         3171609 |
|          2 |         2319807 |
|          7 |          598284 |
|          6 |          684873 |
|         10 |          665661 |
|          8 |          588889 |
|          9 |          608937 |
|         12 |          798073 |
|         26 |          818353 |
|         27 |          892719 |
|         25 |          753633 |
|         23 |          673924 |
|         24 |          706753 |
|         33 |          946717 |
|         34 |          878552 |
|         30 |         1034106 |
|         31 |         1055653 |
|         29 |          999860 |
|         32 |         1017560 |
|         35 |          809485 |
|         36 |          744634 |
|         37 |          663650 |
|         38 |          583922 |
|         39 |          520239 |
|         40 |          474301 |
|         41 |          420796 |
|         42 |          367879 |
|         43 |          321829 |
|         44 |          275995 |
|         46 |          158352 |
|         45 |          222461 |
|         47 |           99522 |
+------------+-----------------+

Total Number of Cliques: 37322355
Largest Clique Size: 67
Execution Time: 19634409 ms
